"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eif3h1",0.00014806548911997,0.156891950465419,1,0.999,1,"4","Eif3h"
"Snx20",0.000148317494169304,0.140603907203966,0.163,0.079,1,"4","Snx20"
"Slc25a38",0.000148387585761138,0.250336508840911,0.375,0.263,1,"4","Slc25a38"
"Tmbim12",0.000148989324464482,0.292606780716085,0.859,0.841,1,"4","Tmbim1"
"Lemd11",0.000149413603358743,0.11973586889244,0.136,0.062,1,"4","Lemd1"
"B3gnt4",0.000149890287217491,0.086218448925487,0.103,0.041,1,"4","B3gnt4"
"Cox7a2",0.000152731249972297,0.127911706141187,1,1,1,"4","Cox7a2"
"Trappc6a",0.000152875843714545,0.294328120966209,0.652,0.549,1,"4","Trappc6a"
"Nfu1",0.000153067829934817,0.228789850726549,0.832,0.808,1,"4","Nfu1"
"Sdr39u12",0.000154458233600772,0.216075649796728,0.408,0.283,1,"4","Sdr39u1"
"Isg20",0.000154570828447882,0.292690139231598,0.299,0.193,1,"4","Isg20"
"Jag21",0.000155290120008258,0.109336796501712,0.098,0.038,1,"4","Jag2"
"Mt21",0.000155892151290135,0.611008514184767,0.908,0.924,1,"4","Mt2"
"3830417A13Rik",0.000158512127272488,0.34339213536374,0.016,0.001,1,"4","3830417A13Rik"
"Zfp444",0.00015887341579281,0.18892538984861,0.446,0.311,1,"4","Zfp444"
"Paqr5",0.000159535436596528,0.0596942227137403,0.016,0.001,1,"4","Paqr5"
"Chst5",0.000159535436596528,0.0521605500283329,0.016,0.001,1,"4","Chst5"
"1700093K21Rik",0.000159535436596528,0.0293205736702216,0.016,0.001,1,"4","1700093K21Rik"
"Extl1",0.000160564961465272,0.0216261818802207,0.016,0.001,1,"4","Extl1"
"Otop1",0.000160564961465272,0.0216261818802207,0.016,0.001,1,"4","Otop1"
"Slc23a4",0.000160564961465272,0.0216261818802207,0.016,0.001,1,"4","Slc23a4"
"Pnpla3",0.000160564961465272,0.0216261818802207,0.016,0.001,1,"4","Pnpla3"
"5031415H12Rik",0.000160564961465272,0.0216261818802207,0.016,0.001,1,"4","5031415H12Rik"
"Klk13",0.000160567182051468,0.11688360555506,0.016,0.001,1,"4","Klk13"
"Gm14862",0.000161084849247127,0.0284681688945297,0.016,0.001,1,"4","Gm14862"
"Cadps2",0.000162124478819589,0.0207737771045288,0.016,0.001,1,"4","Cadps2"
"Dnase1l3",0.000163172249803039,0.0267648687664652,0.016,0.001,1,"4","Dnase1l3"
"Afdn1",0.00016389063557891,0.277518888623919,0.913,0.844,1,"4","Afdn"
"Pdgfa1",0.000165087584061708,0.437499257133688,0.799,0.734,1,"4","Pdgfa"
"Mtcl11",0.0001659359732648,0.12778321255591,0.179,0.092,1,"4","Mtcl1"
"Nipsnap21",0.000167817712313975,0.295179011983253,0.538,0.441,1,"4","Nipsnap2"
"Gm47509",0.000169389015738262,0.060061567723681,0.054,0.015,1,"4","Gm47509"
"Kcnc3",0.000174632776098469,0.0518045878216003,0.054,0.015,1,"4","Kcnc3"
"Tiam1",0.000175627903681885,0.223274812356617,0.348,0.235,1,"4","Tiam1"
"Timm8b1",0.00017603486878631,0.179729173782397,1,0.996,1,"4","Timm8b"
"Slmap",0.000179059086570584,0.276380747775086,0.723,0.644,1,"4","Slmap"
"Ucp2",0.000179700723117667,0.345096441575989,0.783,0.759,1,"4","Ucp2"
"Pitpnm31",0.000181292074068596,0.0942446910499284,0.071,0.023,1,"4","Pitpnm3"
"Hspa1a",0.000182275157703178,0.119444863899414,0.109,0.044,1,"4","Hspa1a"
"Nr1h2",0.000182380057190341,0.238315139791127,0.636,0.512,1,"4","Nr1h2"
"Bloc1s21",0.000183217371414303,0.291482017097969,0.918,0.885,1,"4","Bloc1s2"
"Cd552",0.000185390704909539,0.247030988994525,0.5,0.351,1,"4","Cd55"
"Zfp971",0.000186621979179263,0.176405598754422,0.207,0.114,1,"4","Zfp971"
"Adora1",0.000189299695651344,0.0369337577800965,0.033,0.006,1,"4","Adora1"
"Capn51",0.000190692237424846,0.229843297316538,0.315,0.204,1,"4","Capn5"
"Mpp72",0.000190929643561535,0.307478839886284,0.495,0.373,1,"4","Mpp7"
"2210016F16Rik",0.000191065193089138,0.24611869353168,0.886,0.845,1,"4","2210016F16Rik"
"Lrriq1",0.000195112452001482,0.0479035536056191,0.027,0.004,1,"4","Lrriq1"
"Wnt6",0.000195521338037841,0.0612324751963938,0.027,0.004,1,"4","Wnt6"
"Wbp2",0.000195704748190194,0.239229407350591,0.647,0.514,1,"4","Wbp2"
"Sfxn3",0.000196503285431425,0.339485219241746,0.641,0.566,1,"4","Sfxn3"
"Ttn",0.000197133124070195,0.047053659595244,0.027,0.004,1,"4","Ttn"
"Bmp8b",0.000197604769186734,0.0301645017673421,0.033,0.006,1,"4","Bmp8b"
"Large2",0.000197939023627431,0.040330333900818,0.027,0.004,1,"4","Large2"
"Vwa3a",0.000197939023627431,0.040330333900818,0.027,0.004,1,"4","Vwa3a"
"Qprt",0.000199988023547798,0.0394804398904429,0.027,0.004,1,"4","Qprt"
"Mst1r",0.000200803196399802,0.032717149790943,0.027,0.004,1,"4","Mst1r"
"Sema4b1",0.000204622119819973,0.240887641529659,0.288,0.183,1,"4","Sema4b"
"Lsamp",0.000207094576843011,0.0284726776476438,0.027,0.004,1,"4","Lsamp"
"Gm20324",0.00020767584809176,0.107406708047457,0.147,0.07,1,"4","Gm20324"
"Gclm2",0.000208041731267385,0.256953719651912,0.94,0.94,1,"4","Gclm"
"Bdh11",0.000208473694701427,0.139374119135135,0.234,0.133,1,"4","Bdh1"
"Thoc6",0.000208652877412233,0.21456637439629,0.582,0.453,1,"4","Thoc6"
"Ndrg3",0.000208784590955097,0.331869282404003,0.538,0.428,1,"4","Ndrg3"
"Gbp2",0.000210318634237848,0.169630268056,0.114,0.05,1,"4","Gbp2"
"C430042M11Rik",0.000211222831178911,0.0649240371875385,0.06,0.018,1,"4","C430042M11Rik"
"Ptger21",0.000216279633017689,0.0965464807867714,0.092,0.036,1,"4","Ptger2"
"Carns1",0.000216634218461559,0.0903112035593699,0.092,0.036,1,"4","Carns1"
"Slc35g11",0.00021840958690564,0.198603949555643,0.37,0.248,1,"4","Slc35g1"
"B230217O12Rik",0.00021991280991166,0.0986597777441353,0.103,0.042,1,"4","B230217O12Rik"
"Tmem154",0.000222805171232951,0.0922669183760573,0.087,0.033,1,"4","Tmem154"
"Rps71",0.000223220739762477,0.092166811994387,1,1,1,"4","Rps7"
"Enah1",0.000224436684009359,0.387032608314924,0.832,0.783,1,"4","Enah"
"Ormdl21",0.000224674690546446,0.227161389707992,0.842,0.776,1,"4","Ormdl2"
"Ccdc43",0.000228333209871735,0.370308471099892,0.603,0.522,1,"4","Ccdc43"
"Dnm2",0.000229507864324608,0.310479527439933,0.793,0.701,1,"4","Dnm2"
"Zfp141",0.000231139923688832,0.291313698303352,0.288,0.191,1,"4","Zfp141"
"Smpdl3a",0.000237615849481385,0.256421533914952,0.413,0.296,1,"4","Smpdl3a"
"Znrd1",0.00023872315348463,0.429280283875096,0.886,0.828,1,"4","Znrd1"
"Brca2",0.000250727267246158,0.432222747090148,0.62,0.53,1,"4","Brca2"
"Setx1",0.000251073823070117,0.29362344222295,0.734,0.657,1,"4","Setx"
"Acvr2b",0.000254700701631082,0.139335366699744,0.19,0.102,1,"4","Acvr2b"
"Sugct",0.000255899927339499,0.0832217787730503,0.098,0.039,1,"4","Sugct"
