"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc25a231",0.00478375789058598,0.185750711451773,0.327,0.212,1,"U","Slc25a23"
"Btf31",0.00484908782163804,0.126407592630655,1,1,1,"U","Btf3"
"Wdr31",0.00486260126483548,0.0668413055020881,0.079,0.028,1,"U","Wdr31"
"Gfer1",0.00486685462789366,0.256627969999715,0.891,0.877,1,"U","Gfer"
"Anxa21",0.00486930569164321,0.299993854629193,1,0.999,1,"U","Anxa2"
"Tmem183a",0.00487396194405411,0.195390379148861,0.881,0.826,1,"U","Tmem183a"
"Tpd521",0.00490500049795716,0.185207128049505,0.683,0.52,1,"U","Tpd52"
"Hid1",0.00491233524240377,0.064769955482393,0.079,0.028,1,"U","Hid1"
"3830406C13Rik",0.00492187795699081,0.237834058700715,0.564,0.457,1,"U","3830406C13Rik"
"Serpini1",0.00493262925273603,0.108086231020624,0.069,0.023,1,"U","Serpini1"
"F8",0.00494437420281517,0.0629025375868643,0.069,0.023,1,"U","F8"
"Stambp",0.00495756087624275,0.179400225936605,0.525,0.381,1,"U","Stambp"
"Adam22",0.00497389784997128,0.0670812372233779,0.05,0.013,1,"U","Adam22"
"Rasip1",0.00499069413940634,0.0506141998791896,0.05,0.013,1,"U","Rasip1"
"Rassf61",0.00499280440444647,0.0608177178008079,0.069,0.023,1,"U","Rassf6"
"Micu3",0.00501204714976503,0.217300757759358,0.455,0.332,1,"U","Micu3"
"Gm34552",0.00503517300462908,0.0495607532892001,0.05,0.013,1,"U","Gm34552"
"Ndufb10",0.00504459380446189,0.160216267882316,1,0.995,1,"U","Ndufb10"
"B130055M24Rik",0.00504879748317287,0.0937002896428152,0.119,0.052,1,"U","B130055M24Rik"
"Dync2li1",0.00505436959065488,0.181421076782622,0.267,0.162,1,"U","Dync2li1"
"Naxe",0.00506229777306311,0.286827225047836,0.772,0.659,1,"U","Naxe"
"Myh7b",0.00507998821977432,0.048508075357863,0.05,0.013,1,"U","Myh7b"
"Galnt121",0.00508534579921113,0.161951775749201,0.277,0.167,1,"U","Galnt12"
"Rab27b1",0.00509873561645862,0.153157407117771,0.257,0.152,1,"U","Rab27b"
"Luzp2",0.00511733005523554,0.258698981088743,0.386,0.252,1,"U","Luzp2"
"Susd4",0.00512514184051246,0.0474561649642766,0.05,0.013,1,"U","Susd4"
"Mdfi",0.00517840891954747,0.102347820351781,0.089,0.034,1,"U","Mdfi"
"Rpl291",0.00521425771187744,0.144548281857324,1,0.991,1,"U","Rpl29"
"Spry4",0.00521787301879223,0.319300605509552,0.317,0.211,1,"U","Spry4"
"Vars2",0.00525911474802501,0.153988397438784,0.297,0.182,1,"U","Vars2"
"Rere1",0.00525915054401972,0.265182276174073,0.752,0.665,1,"U","Rere"
"Ralgapa1",0.00526506794171176,0.220575127835652,0.604,0.454,1,"U","Ralgapa1"
"Slc2a1",0.0052716257675164,0.405025605722126,0.436,0.316,1,"U","Slc2a1"
"Secisbp2",0.00528560999718564,0.16297950272656,0.594,0.447,1,"U","Secisbp2"
"Gm5165",0.00531217478252194,0.105874862170847,0.188,0.098,1,"U","Gm5165"
"Epb41l4a1",0.00535169364993276,0.352621854269091,0.446,0.327,1,"U","Epb41l4a"
"AI467606",0.00536545189702276,0.0854310253603137,0.099,0.04,1,"U","AI467606"
"Amdhd2",0.00539594728251024,0.242640493749955,0.475,0.345,1,"U","Amdhd2"
"Rnf123",0.00540766546069965,0.170443775377764,0.307,0.196,1,"U","Rnf123"
"Spock2",0.00548389813121701,0.190538382471024,0.109,0.047,1,"U","Spock2"
"Chchd5",0.00550159401597098,0.235644141732772,0.683,0.572,1,"U","Chchd5"
"Rbp11",0.0055795595361108,0.332688478688424,0.97,0.887,1,"U","Rbp1"
"Ucp2",0.00558183532979639,0.274815968590387,0.792,0.753,1,"U","Ucp2"
"Herc6",0.00559077242731598,0.199179493265561,0.347,0.231,1,"U","Herc6"
"Tpi11",0.00559872947380625,0.137685457123617,1,0.996,1,"U","Tpi1"
"Gadd45gip11",0.00566422738186061,0.189387376047009,0.901,0.882,1,"U","Gadd45gip1"
"Rbm251",0.00568766750738808,0.166756730865689,1,0.996,1,"U","Rbm25"
"Prx",0.00571420160381317,0.0749444174260275,0.119,0.052,1,"U","Prx"
"Mgst11",0.00575928385343783,0.493852198460182,0.931,0.946,1,"U","Mgst1"
"Flad1",0.0057605270266488,0.156637975852733,0.327,0.21,1,"U","Flad1"
"Rbck1",0.00578032828269589,0.24037366419057,0.822,0.757,1,"U","Rbck1"
"Pgap1",0.00592379152462836,0.215846973625924,0.277,0.178,1,"U","Pgap1"
"Olfr1459",0.00594352085904848,0.0691751346023944,0.059,0.019,1,"U","Olfr1459"
"Atrx",0.00596220446522235,0.309932302750925,1,0.996,1,"U","Atrx"
"Rps202",0.00596863537148838,0.079215290989084,1,1,1,"U","Rps20"
"Lamc21",0.00597041492561909,0.42165003112697,0.436,0.323,1,"U","Lamc2"
"Ergic3",0.00599735800017262,0.230501379865496,0.931,0.857,1,"U","Ergic3"
"Cebpzos",0.00601931060132039,0.188148948597951,0.723,0.632,1,"U","Cebpzos"
"Piwil2",0.00605082122118024,0.0751565737140917,0.069,0.024,1,"U","Piwil2"
"Nt5c31",0.00606870689859696,0.209602533946444,0.644,0.522,1,"U","Nt5c3"
"Rps51",0.00612618680147145,0.0772775321233139,1,1,1,"U","Rps5"
"Mrps18b1",0.00614181643584097,0.269373252631504,0.96,0.913,1,"U","Mrps18b"
"Pitpnm31",0.00617157099295264,0.0761993602003221,0.059,0.019,1,"U","Pitpnm3"
"Lin28b",0.0061805651873113,0.0629025375868643,0.059,0.019,1,"U","Lin28b"
"Rpl191",0.0061833732847118,0.0619837159605332,1,1,1,"U","Rpl19"
"Khnyn",0.00619093899583437,0.215815911787507,0.277,0.172,1,"U","Khnyn"
"9630028I04Rik",0.00622571466066058,0.0547072902707453,0.059,0.019,1,"U","9630028I04Rik"
"Tmem641",0.0063675333854572,0.42746172979209,0.564,0.502,1,"U","Tmem64"
"Hpcal1",0.00640375644550331,0.210306640646319,0.485,0.369,1,"U","Hpcal1"
"Gpr135",0.00645206360127067,0.124216498160356,0.168,0.087,1,"U","Gpr135"
"Gm43774",0.0064579051780145,0.0846425302993339,0.129,0.059,1,"U","Gm43774"
"Rest1",0.00645871657801079,0.286338499685548,0.851,0.839,1,"U","Rest"
"Tusc1",0.00647241823800127,0.211244306503204,0.475,0.352,1,"U","Tusc1"
