"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chat",1.50472067997455e-25,0.103477465732289,0.041,0.001,2.79200922169278e-21,"7","Chat"
"Smarca4",1.51872744919489e-25,0.698655201354655,1,0.947,2.81799878198112e-21,"7","Smarca4"
"Cacna1e",1.60709080031057e-25,0.0632939266747689,0.041,0.001,2.98195697997626e-21,"7","Cacna1e"
"Dync1li12",1.70615764352899e-25,0.777201498061298,0.936,0.774,3.16577550756805e-21,"7","Dync1li1"
"Atp5h1",1.73337783161766e-25,0.431573231916213,1,1,3.21628256656657e-21,"7","Atp5h"
"Fam184a",1.93929882602106e-25,0.139077573000192,0.093,0.008,3.59836897168208e-21,"7","Fam184a"
"Ankrd122",2.36445564900851e-25,1.06091104700438,0.709,0.504,4.38724745673529e-21,"7","Ankrd12"
"AY0361183",2.63622757316346e-25,0.794493614709187,0.983,0.831,4.89152026200479e-21,"7","AY036118"
"Lonrf2",3.45596465679818e-25,0.122758263294679,0.064,0.003,6.41254242068903e-21,"7","Lonrf2"
"En2",3.45621950758292e-25,0.151498980595232,0.064,0.003,6.41301529632011e-21,"7","En2"
"Atp5o3",3.53044531122045e-25,0.460967167642188,1,0.999,6.55074127496955e-21,"7","Atp5o"
"2610008E11Rik1",4.25233691651839e-25,0.638190602644785,0.355,0.115,7.89021114859987e-21,"7","2610008E11Rik"
"Kmt2a2",4.51316628320128e-25,0.72967457393192,0.948,0.67,8.37418003847997e-21,"7","Kmt2a"
"Aff42",4.91905376983384e-25,0.756353734680992,0.93,0.691,9.12730426992668e-21,"7","Aff4"
"Vdac33",5.39234802119778e-25,0.509389237040109,1,0.995,1.00055017533325e-20,"7","Vdac3"
"Cbln1",6.0353689902945e-25,0.304743137111636,0.081,0.006,1.11986271614914e-20,"7","Cbln1"
"Pfdn21",6.07158976009515e-25,0.604929639717485,1,0.97,1.12658347998565e-20,"7","Pfdn2"
"Gm11650",6.76196238624822e-25,0.1005315190778,0.058,0.003,1.25468212076836e-20,"7","Gm11650"
"Shc21",7.7734973756093e-25,0.357252225157,0.215,0.044,1.4423724380443e-20,"7","Shc2"
"Chd72",8.0421080737672e-25,0.981562950681211,0.587,0.315,1.4922131530875e-20,"7","Chd7"
"Mien12",8.10828992733059e-25,0.725350183508662,0.965,0.778,1.50449319601619e-20,"7","Mien1"
"Adprh1",8.26464887694952e-25,0.812162054380619,0.82,0.642,1.53350559911798e-20,"7","Adprh"
"Lhfpl4",8.43713449807651e-25,0.301011703452828,0.169,0.028,1.5655103061181e-20,"7","Lhfpl4"
"Gm14207",1.21825969653263e-24,0.0572230255070026,0.029,0,2.2604808669163e-20,"7","Gm14207"
"Gm29019",1.21825969653263e-24,0.0572230255070026,0.029,0,2.2604808669163e-20,"7","Gm29019"
"Pmfbp1",1.22418238344981e-24,0.0572230255070026,0.029,0,2.27147041249111e-20,"7","Pmfbp1"
"Chrna5",1.22418238344981e-24,0.049140679209144,0.029,0,2.27147041249111e-20,"7","Chrna5"
"Skor2",1.22418238344981e-24,0.049140679209144,0.029,0,2.27147041249111e-20,"7","Skor2"
"Sh3gl2",1.25106745209386e-24,0.246379293408055,0.11,0.012,2.32135565736016e-20,"7","Sh3gl2"
"Lingo4",1.2603799512007e-24,0.0406848758238455,0.029,0,2.3386349994529e-20,"7","Lingo4"
"Fbxo16",1.3532377589016e-24,0.289492037964514,0.145,0.021,2.51093266164192e-20,"7","Fbxo16"
"Nbea3",1.57468332480356e-24,1.05470352903079,0.61,0.357,2.92182490917301e-20,"7","Nbea"
"Glyr11",1.71254075879758e-24,0.697298789337199,0.965,0.802,3.1776193779489e-20,"7","Glyr1"
"4930509H03Rik",1.7342538950838e-24,0.303541638412233,0.186,0.034,3.217908102328e-20,"7","4930509H03Rik"
"Ccdc301",1.79768801279178e-24,0.340083746288438,0.174,0.03,3.33561010773515e-20,"7","Ccdc30"
"Sars",1.98238591054144e-24,0.649144920987206,0.994,0.955,3.67831705700965e-20,"7","Sars"
